N,time,FLOPS
16,2.3105316312169935e-05,376709839.51929134
32,4.3551801318072664e-05,799415843.806957
64,0.00013991941462390984,995315770.6836357
128,0.0005094673995102432,1093408529.2513402
256,0.0023070394549654797,965836971.3635179
512,0.00820865003935672,1085793152.012419
1024,0.03312240684521306,1076358495.52257
2048,0.13239001628726482,1077168354.527334
4096,0.46439520257683614,1228318769.9503005
8192,1.7628518960797441,1294323919.708786
16384,6.842768474776514,1333788442.1550715
